Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
Emilia Romagna,McLaren,NOR,2,807.775,1615.55,INTERMEDIATE,16.5,104.2185,108.2875,112.737,7.750783210274567
Emilia Romagna,Alpine,OCO,5,-24.365199999999998,-121.826,MEDIUM,7.8,119.597,108.48775,129.064,-0.2037275182487855
Emilia Romagna,Red Bull Racing,PER,2,812.924,1625.848,INTERMEDIATE,16.5,105.7105,108.879,127.522,7.6900970102307715
Emilia Romagna,Alfa Romeo Racing,RAI,3,476.667,1430.001,MEDIUM,12.666666666666666,115.2815,111.289,114.991,4.134809141102432
Emilia Romagna,McLaren,RIC,2,804.711,1609.422,INTERMEDIATE,16.5,108.446,104.5425,120.052,7.42038433874924
Emilia Romagna,Williams,RUS,1,29.988,29.988,INTERMEDIATE,26.0,94.682,90.048,113.763,0.31672334762679283
Emilia Romagna,Ferrari,SAI,2,806.6835000000001,1613.3670000000002,INTERMEDIATE,16.5,105.08250000000001,107.87650000000001,115.179,7.676668332024838
Emilia Romagna,Aston Martin,STR,3,477.34833333333336,1432.045,MEDIUM,12.333333333333334,117.36200000000001,112.18433333333333,115.935,4.067315939855603
Emilia Romagna,AlphaTauri,TSU,3,475.11999999999995,1425.36,INTERMEDIATE,11.0,116.402,114.92966666666666,115.551,4.081716808989536
Emilia Romagna,Red Bull Racing,VER,2,825.9739999999999,1651.9479999999999,INTERMEDIATE,16.5,117.89349999999999,96.1985,111.252,7.006102965812365
Emilia Romagna,Aston Martin,VET,5,290.98159999999996,1454.908,INTERMEDIATE,10.666666666666666,109.70540000000001,113.56016666666666,133.626,2.652390857697068
Monaco,Alpine,ALO,1,23.574,23.574,MEDIUM,45.0,94.415,78.384,80.632,0.24968490176349098
Monaco,Mercedes,BOT,0,,0.0,SOFT,35.0,,76.265,,
Monaco,AlphaTauri,GAS,1,24.165,24.165,SOFT,36.0,93.589,76.723,81.727,0.25820342134225177
Monaco,Alfa Romeo Racing,GIO,1,24.288,24.288,SOFT,38.0,95.523,78.673,80.718,0.25426337112527875
Monaco,Mercedes,HAM,2,23.8345,47.669,HARD,35.5,92.4305,76.1525,77.938,0.2578640167477185
Monaco,Williams,LAT,1,23.453,23.453,MEDIUM,43.0,94.2,79.846,81.902,0.24897027600849256
Monaco,Haas F1 Team,MAZ,1,24.95,24.95,SOFT,34.0,96.881,79.038,82.27,0.25753243670069464
Monaco,Haas F1 Team,MSC,1,24.551,24.551,SOFT,37.0,95.956,78.665,86.398,0.25585685105673434
Monaco,McLaren,NOR,1,22.864,22.864,SOFT,35.0,93.286,76.902,79.617,0.24509572711875308
Monaco,Alpine,OCO,1,23.699,23.699,SOFT,37.0,92.516,76.154,80.372,0.2561610964589909
Monaco,Red Bull Racing,PER,1,24.298,24.298,SOFT,40.0,92.675,75.062,79.543,0.2621850553007823
Monaco,Alfa Romeo Racing,RAI,1,23.84,23.84,MEDIUM,43.0,93.514,76.45,81.46,0.25493508993305813
Monaco,McLaren,RIC,1,24.613,24.613,MEDIUM,36.0,95.412,78.265,81.447,0.2579654550790257
Monaco,Williams,RUS,1,23.671,23.671,MEDIUM,31.0,95.152,78.97,82.576,0.24877038843114174
Monaco,Ferrari,SAI,1,23.893,23.893,SOFT,38.0,93.98,76.485,79.941,0.25423494360502236
Monaco,Aston Martin,STR,1,23.776,23.776,HARD,58.0,92.618,76.725,78.442,0.2567103586775789
Monaco,AlphaTauri,TSU,1,24.226,24.226,HARD,64.0,94.429,75.805,78.804,0.256552542121594
Monaco,Red Bull Racing,VER,1,23.459,23.459,SOFT,39.0,92.339,75.827,80.639,0.25405300035737877
Monaco,Aston Martin,VET,1,24.348,24.348,SOFT,36.0,92.812,76.03,79.635,0.26233676679739687
Spain,Alpine,ALO,2,22.685,45.37,MEDIUM,32.0,90.1695,86.564,104.2805,0.2515817432723925
Spain,Mercedes,BOT,2,21.545,43.09,MEDIUM,28.0,87.7225,84.658,100.117,0.245604035452706
Spain,AlphaTauri,GAS,2,27.0475,54.095,MEDIUM,23.5,89.22,84.642,105.8335,0.3031551221699171
Spain,Alfa Romeo Racing,GIO,2,39.423500000000004,78.84700000000001,MEDIUM,21.0,95.2775,85.507,104.771,0.4137755503660361
Spain,Mercedes,HAM,2,22.13,44.26,MEDIUM,23.0,86.358,82.402,100.27799999999999,0.256258829523611
Spain,Williams,LAT,3,23.733666666666668,71.20100000000001,MEDIUM,16.666666666666668,97.66699999999999,90.81966666666666,108.29699999999998,0.24300599656656466
Spain,Ferrari,LEC,2,21.922,43.844,MEDIUM,30.5,87.946,84.382,101.02600000000001,0.2492665954108203
Spain,Haas F1 Team,MAZ,2,22.7565,45.513,MEDIUM,21.0,90.547,86.0455,106.477,0.2513225175875512
Spain,Haas F1 Team,MSC,2,23.1565,46.313,MEDIUM,25.0,89.01050000000001,85.43,104.8785,0.2601547008498997
Spain,McLaren,NOR,2,22.1755,44.351,MEDIUM,27.0,87.0025,84.7735,102.8695,0.2548834803597598
Spain,Alpine,OCO,1,22.779,22.779,SOFT,26.0,88.11,85.145,103.206,0.2585291113381001
Spain,Red Bull Racing,PER,2,21.858,43.716,MEDIUM,30.0,87.098,83.35900000000001,101.866,0.2509586902110267
Spain,Alfa Romeo Racing,RAI,1,21.556,21.556,MEDIUM,37.0,90.354,85.867,104.27,0.23857272505921157
Spain,McLaren,RIC,2,22.048000000000002,44.096000000000004,MEDIUM,24.5,88.203,83.925,101.69749999999999,0.24996882192215686
Spain,Williams,RUS,2,23.052,46.104,MEDIUM,14.0,101.2575,92.156,111.60300000000001,0.2276572105769943
Spain,Ferrari,SAI,2,21.85,43.7,MEDIUM,24.5,87.82650000000001,84.075,100.9925,0.24878595867989728
Spain,Aston Martin,STR,2,22.2965,44.593,MEDIUM,19.5,87.9385,84.3805,101.6255,0.25354651261961486
