Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime
Australia,AlphaTauri,TSU,1,18.415,18.415,MEDIUM,18.0,100.786
Australia,Red Bull Racing,VER,1,18.272,18.272,MEDIUM,18.0,99.466
Australia,Alfa Romeo,ZHO,1,18.358,18.358,MEDIUM,21.0,100.432
Azerbaijan,Williams,ALB,2,23.541,47.082,HARD,14.5,124.9935
Azerbaijan,Alpine,ALO,1,20.584,20.584,MEDIUM,18.0,116.303
Azerbaijan,Alfa Romeo,BOT,1,20.959,20.959,HARD,33.0,
Azerbaijan,AlphaTauri,GAS,1,22.687,22.687,MEDIUM,9.0,127.392
Azerbaijan,Mercedes,HAM,2,21.159,42.318,HARD,16.5,132.92149999999998
Azerbaijan,Williams,LAT,2,25.750999999999998,51.501999999999995,MEDIUM,10.0,117.62549999999999
Azerbaijan,Ferrari,LEC,1,23.229,23.229,HARD,10.0,119.045
Azerbaijan,Haas F1 Team,MAG,1,21.516,21.516,MEDIUM,11.0,133.804
Azerbaijan,Haas F1 Team,MSC,2,24.674500000000002,49.349000000000004,HARD,12.5,127.318
Azerbaijan,McLaren,NOR,1,21.428,21.428,MEDIUM,20.0,115.814
Azerbaijan,Alpine,OCO,1,22.62,22.62,HARD,33.0,146.494
Azerbaijan,Red Bull Racing,PER,2,22.868000000000002,45.736000000000004,HARD,16.5,120.3275
Azerbaijan,McLaren,RIC,1,21.775,21.775,HARD,33.0,141.174
Azerbaijan,Mercedes,RUS,2,20.4595,40.919,HARD,16.5,127.358
Azerbaijan,Aston Martin,STR,1,22.031,22.031,HARD,24.0,123.37449999999998
Azerbaijan,AlphaTauri,TSU,2,32.289500000000004,64.57900000000001,HARD,19.0,121.475
Azerbaijan,Red Bull Racing,VER,2,21.0805,42.161,HARD,16.5,116.38550000000001
Azerbaijan,Aston Martin,VET,1,20.217,20.217,MEDIUM,10.0,129.423
Azerbaijan,Alfa Romeo,ZHO,1,22.96,22.96,HARD,11.5,134.9035
Miami,Williams,ALB,1,20.052,20.052,MEDIUM,16.0,100.786
Miami,Alpine,ALO,1,21.596,21.596,MEDIUM,15.0,101.221
Miami,Alfa Romeo,BOT,1,19.607,19.607,MEDIUM,26.0,99.185
Miami,AlphaTauri,GAS,2,19.247500000000002,38.495000000000005,HARD,16.0,112.21933333333334
Miami,Mercedes,HAM,1,18.783,18.783,MEDIUM,22.0,99.933
Miami,Williams,LAT,1,19.175,19.175,HARD,34.0,100.889
Miami,Ferrari,LEC,1,19.718,19.718,MEDIUM,24.0,98.829
Miami,Haas F1 Team,MAG,2,20.192500000000003,40.385000000000005,MEDIUM,19.0,111.186
Miami,Haas F1 Team,MSC,2,26.3975,52.795,HARD,27.0,106.163
Miami,McLaren,NOR,1,19.928,19.928,MEDIUM,18.0,99.685
Miami,Alpine,OCO,1,19.028,19.028,HARD,41.0,122.285
Miami,Red Bull Racing,PER,2,18.5135,37.027,HARD,20.5,113.00200000000001
Miami,McLaren,RIC,2,19.416,38.832,HARD,20.5,112.72399999999999
Miami,Mercedes,RUS,1,19.016,19.016,HARD,40.0,103.317
Miami,Ferrari,SAI,1,22.044,22.044,MEDIUM,27.0,99.604
Miami,Aston Martin,STR,1,19.088,19.088,HARD,42.0,109.446
Miami,AlphaTauri,TSU,2,19.1685,38.337,HARD,20.5,101.385
Miami,Red Bull Racing,VER,1,18.819,18.819,MEDIUM,26.0,98.505
Miami,Aston Martin,VET,1,19.861,19.861,HARD,29.0,122.755
Miami,Alfa Romeo,ZHO,0,,0.0,MEDIUM,6.0,121.705
Emilia Romagna,Williams,ALB,1,30.763,30.763,INTERMEDIATE,17.0,98.914
Emilia Romagna,Alpine,ALO,0,,0.0,INTERMEDIATE,6.0,100.245
Emilia Romagna,Alfa Romeo,BOT,1,40.927,40.927,INTERMEDIATE,18.0,97.376
Emilia Romagna,AlphaTauri,GAS,1,30.378,30.378,INTERMEDIATE,17.0,98.941
Emilia Romagna,Mercedes,HAM,1,32.725,32.725,INTERMEDIATE,18.0,99.546
Emilia Romagna,Williams,LAT,1,31.116,31.116,INTERMEDIATE,18.0,98.506
Emilia Romagna,Ferrari,LEC,3,32.791333333333334,98.374,INTERMEDIATE,17.666666666666668,91.572
Emilia Romagna,Haas F1 Team,MAG,1,33.754,33.754,INTERMEDIATE,18.0,98.853
Emilia Romagna,Haas F1 Team,MSC,2,31.172,62.344,INTERMEDIATE,27.0,92.5835
Emilia Romagna,McLaren,NOR,1,30.056,30.056,INTERMEDIATE,19.0,94.952
Emilia Romagna,Alpine,OCO,1,31.415,31.415,INTERMEDIATE,18.0,99.831
Emilia Romagna,Red Bull Racing,PER,2,30.041,60.082,INTERMEDIATE,25.0,91.486
Emilia Romagna,McLaren,RIC,3,30.972666666666665,92.91799999999999,INTERMEDIATE,10.666666666666666,94.167
Emilia Romagna,Mercedes,RUS,1,31.047,31.047,INTERMEDIATE,18.0,97.214
Emilia Romagna,Aston Martin,STR,1,32.691,32.691,INTERMEDIATE,18.0,99.188
Emilia Romagna,AlphaTauri,TSU,1,30.358,30.358,INTERMEDIATE,18.0,99.363
Emilia Romagna,Red Bull Racing,VER,2,30.0205,60.041,INTERMEDIATE,25.5,90.42099999999999
Emilia Romagna,Aston Martin,VET,1,30.486,30.486,INTERMEDIATE,17.0,99.443
Emilia Romagna,Alfa Romeo,ZHO,1,32.195,32.195,INTERMEDIATE,18.0,98.724
Monaco,Williams,ALB,3,414.5496666666666,1243.649,HARD,18.5,122.0505
Monaco,Alpine,ALO,2,603.303,1206.606,HARD,25.5,109.636
Monaco,Alfa Romeo,BOT,2,606.161,1212.322,HARD,25.0,109.539
Monaco,AlphaTauri,GAS,3,411.0,1233.0,HARD,16.666666666666668,113.986
Monaco,Mercedes,HAM,3,411.7643333333333,1235.293,INTERMEDIATE,15.0,107.72200000000001
Monaco,Williams,LAT,4,248.92399999999998,995.6959999999999,MEDIUM,11.5,156.35
Monaco,Ferrari,LEC,3,410.19,1230.57,INTERMEDIATE,16.0,108.70400000000001
Monaco,Haas F1 Team,MAG,0,,0.0,WET,20.0,
Monaco,Haas F1 Team,MSC,2,32.1305,64.261,HARD,8.5,124.7585
Monaco,McLaren,NOR,4,314.21124999999995,1256.8449999999998,HARD,19.0,103.14766666666667
Monaco,Alpine,OCO,2,605.682,1211.364,HARD,25.5,107.323
Monaco,Red Bull Racing,PER,3,406.965,1220.895,INTERMEDIATE,15.333333333333334,105.7735
Monaco,McLaren,RIC,2,597.3924999999999,1194.7849999999999,HARD,24.5,113.645
Monaco,Mercedes,RUS,2,601.412,1202.824,HARD,25.5,108.014
Monaco,Ferrari,SAI,2,599.7005,1199.401,HARD,25.5,107.551
Monaco,Aston Martin,STR,4,246.59474999999998,986.3789999999999,HARD,11.0,149.153
Monaco,AlphaTauri,TSU,4,312.49125,1249.965,HARD,17.75,113.44866666666667
Monaco,Red Bull Racing,VER,3,409.74299999999994,1229.2289999999998,INTERMEDIATE,16.0,106.90299999999999
Monaco,Aston Martin,VET,3,406.52233333333334,1219.567,HARD,16.333333333333332,115.21799999999999
Monaco,Alfa Romeo,ZHO,2,599.9385,1199.877,HARD,24.0,113.108
Spain,Williams,ALB,4,23.1885,92.754,MEDIUM,13.5,94.83575
Spain,Alpine,ALO,3,23.242333333333335,69.727,SOFT,17.666666666666668,93.41699999999999
Spain,Alfa Romeo,BOT,2,22.749000000000002,45.498000000000005,MEDIUM,18.5,92.7255
Spain,AlphaTauri,GAS,3,23.908666666666665,71.726,SOFT,16.333333333333332,94.39633333333335
Spain,Mercedes,HAM,3,25.118,75.354,MEDIUM,16.666666666666668,100.18299999999999
Spain,Williams,LAT,3,22.776333333333337,68.32900000000001,SOFT,16.666666666666668,94.38100000000001
Spain,Ferrari,LEC,1,21.739,21.739,MEDIUM,13.5,101.168
Spain,Haas F1 Team,MAG,2,26.729,53.458,MEDIUM,15.5,117.482
Spain,Haas F1 Team,MSC,2,23.3355,46.671,SOFT,17.5,94.58
Spain,McLaren,NOR,3,22.448999999999998,67.347,SOFT,18.0,92.24399999999999
Spain,Alpine,OCO,3,22.349666666666668,67.049,SOFT,18.333333333333332,93.02499999999999
Spain,Red Bull Racing,PER,3,21.762,65.286,MEDIUM,18.666666666666668,91.90499999999999
Spain,McLaren,RIC,3,22.214,66.642,SOFT,18.0,94.098
Spain,Mercedes,RUS,3,22.290333333333336,66.87100000000001,MEDIUM,18.0,91.97366666666666
Spain,Ferrari,SAI,3,22.10366666666667,66.311,MEDIUM,16.0,93.06366666666668
Spain,Aston Martin,STR,3,23.35166666666667,70.055,SOFT,17.666666666666668,97.78166666666668
Spain,AlphaTauri,TSU,3,22.729666666666663,68.189,SOFT,18.333333333333332,93.35533333333335
Spain,Red Bull Racing,VER,3,22.060000000000002,66.18,SOFT,16.666666666666668,91.81866666666667
Spain,Aston Martin,VET,2,22.472,44.944,SOFT,24.0,93.928
Spain,Alfa Romeo,ZHO,1,23.142,23.142,MEDIUM,14.0,103.12049999999999
Canada,Williams,ALB,2,23.677999999999997,47.355999999999995,HARD,24.0,100.477
Canada,Alpine,ALO,2,24.444499999999998,48.888999999999996,HARD,24.5,109.75049999999999
Canada,Alfa Romeo,BOT,1,26.007,26.007,HARD,49.0,124.303
Canada,AlphaTauri,GAS,2,23.588,47.176,HARD,18.0,95.36
Canada,Mercedes,HAM,2,23.8535,47.707,HARD,22.0,105.5085
Canada,Williams,LAT,2,27.027500000000003,54.05500000000001,HARD,18.5,111.5065
Canada,Ferrari,LEC,1,26.284,26.284,HARD,41.0,97.332
Canada,Haas F1 Team,MAG,1,38.257,38.257,MEDIUM,7.0,109.469
Canada,McLaren,NOR,2,33.5355,67.071,HARD,21.0,109.3875
Canada,Alpine,OCO,2,24.81,49.62,HARD,24.5,107.5015
Canada,McLaren,RIC,2,26.4045,52.809,HARD,24.5,113.514
Canada,Mercedes,RUS,2,24.000999999999998,48.001999999999995,HARD,22.5,94.1385
Canada,Ferrari,SAI,2,24.5375,49.075,HARD,24.5,107.7555
Canada,Aston Martin,STR,1,25.267,25.267,HARD,47.0,96.353
Canada,AlphaTauri,TSU,1,23.27,23.27,HARD,23.5,108.958
Canada,Red Bull Racing,VER,2,23.9675,47.935,HARD,21.5,103.16
Canada,Aston Martin,VET,2,23.541,47.082,HARD,10.0,100.49000000000001
Canada,Alfa Romeo,ZHO,2,24.0915,48.183,HARD,24.5,112.3325
Austria,Williams,ALB,2,22.197000000000003,44.394000000000005,HARD,19.5,75.311
Austria,Alpine,ALO,3,-15.782000000000002,-47.346000000000004,MEDIUM,29.333333333333332,89.78133333333334
Austria,Alfa Romeo,BOT,2,23.392,46.784,HARD,17.0,75.543
Austria,AlphaTauri,GAS,2,25.129,50.258,HARD,19.5,76.1455
Austria,Mercedes,HAM,2,22.646500000000003,45.293000000000006,MEDIUM,25.5,74.054
Austria,Williams,LAT,2,21.4815,42.963,HARD,23.0,77.05166666666666
Austria,Ferrari,LEC,3,21.487333333333336,64.462,HARD,27.0,77.95433333333334
Austria,Haas F1 Team,MAG,2,22.049500000000002,44.099000000000004,HARD,20.5,76.0085
Austria,Haas F1 Team,MSC,2,22.536499999999997,45.07299999999999,HARD,21.5,75.114
Austria,McLaren,NOR,2,25.016,50.032,HARD,21.5,75.02199999999999
Austria,Alpine,OCO,2,21.927,43.854,HARD,22.0,75.159
Austria,Red Bull Racing,PER,1,23.674,23.674,HARD,11.0,95.7385
Austria,McLaren,RIC,2,21.610500000000002,43.221000000000004,HARD,21.5,75.41149999999999
Austria,Mercedes,RUS,2,29.9645,59.929,HARD,21.5,74.99549999999999
Austria,Ferrari,SAI,2,21.377499999999998,42.754999999999995,HARD,25.0,74.23750000000001
Austria,Aston Martin,STR,2,21.6905,43.381,MEDIUM,26.0,75.76050000000001
Austria,AlphaTauri,TSU,2,21.5545,43.109,HARD,23.0,76.051
Austria,Red Bull Racing,VER,3,21.59766666666667,64.793,MEDIUM,19.333333333333332,77.78833333333334
Austria,Aston Martin,VET,2,21.4755,42.951,HARD,23.5,75.7885
Austria,Alfa Romeo,ZHO,2,25.733,51.466,HARD,23.0,77.00450000000001
Britain,Alpine,ALO,3,1037.746,3113.2380000000003,MEDIUM,13.0,119.96633333333334
Britain,Alfa Romeo,BOT,1,3055.836,3055.836,MEDIUM,10.0,132.68599999999998
Britain,AlphaTauri,GAS,2,1539.262,3078.524,HARD,9.0,119.70800000000001
Britain,Mercedes,HAM,3,1035.2496666666666,3105.749,MEDIUM,13.0,112.11900000000001
Britain,Williams,LAT,3,1036.3686666666667,3109.106,SOFT,13.0,125.90066666666667
Britain,Ferrari,LEC,2,1532.6409999999998,3065.2819999999997,MEDIUM,12.5,120.136
Britain,Haas F1 Team,MAG,2,1546.4850000000001,3092.9700000000003,MEDIUM,12.0,132.78449999999998
Britain,Haas F1 Team,MSC,3,1041.693,3125.079,MEDIUM,13.666666666666666,132.69933333333333
Britain,McLaren,NOR,3,1033.6209999999999,3100.863,MEDIUM,13.666666666666666,124.13733333333334
Britain,Alpine,OCO,2,1490.5525,2981.105,MEDIUM,11.0,188.4315
Britain,Red Bull Racing,PER,3,1033.4456666666667,3100.337,MEDIUM,13.333333333333334,119.24333333333334
Britain,McLaren,RIC,4,788.386,3153.544,MEDIUM,9.75,116.119
Britain,Ferrari,SAI,3,1029.5883333333334,3088.765,MEDIUM,13.0,111.71266666666668
Britain,Aston Martin,STR,3,1042.486,3127.458,MEDIUM,15.0,132.369
Britain,AlphaTauri,TSU,3,1025.363,3076.0890000000004,HARD,13.0,140.52533333333335
Britain,Red Bull Racing,VER,4,781.1899999999999,3124.7599999999998,MEDIUM,9.75,113.66499999999999
Britain,Aston Martin,VET,3,1041.8666666666668,3125.6000000000004,SOFT,13.666666666666666,130.684
Hungary,Williams,ALB,3,25.768,77.304,MEDIUM,13.333333333333334,95.818
Hungary,Alpine,ALO,1,22.069,22.069,MEDIUM,21.0,87.782
Hungary,Alfa Romeo,BOT,1,22.281,22.281,MEDIUM,26.0,88.113
Hungary,AlphaTauri,GAS,2,21.564,43.128,MEDIUM,23.0,88.4845
Hungary,Mercedes,HAM,2,21.860999999999997,43.721999999999994,MEDIUM,25.5,87.0915
Hungary,Williams,LAT,3,24.364333333333335,73.093,MEDIUM,18.666666666666668,88.678
Hungary,Ferrari,LEC,3,21.767666666666667,65.303,MEDIUM,18.0,86.79433333333333
Hungary,Haas F1 Team,MAG,3,25.32133333333333,75.964,MEDIUM,22.333333333333332,97.47566666666667
Hungary,Haas F1 Team,MSC,2,22.7685,45.537,HARD,20.5,89.6845
Hungary,McLaren,NOR,2,22.7535,45.507,MEDIUM,22.5,89.0745
Hungary,Alpine,OCO,1,23.606,23.606,MEDIUM,23.0,87.713
Hungary,Red Bull Racing,PER,2,21.1385,42.277,MEDIUM,21.0,88.41550000000001
Hungary,McLaren,RIC,2,21.5435,43.087,MEDIUM,24.0,88.9945
Hungary,Mercedes,RUS,2,22.246,44.492,MEDIUM,21.0,87.146
Hungary,Ferrari,SAI,2,23.133000000000003,46.266000000000005,MEDIUM,23.5,86.8005
Hungary,Aston Martin,STR,2,21.706,43.412,MEDIUM,25.0,88.2195
Hungary,AlphaTauri,TSU,3,21.910666666666668,65.732,SOFT,17.0,89.05066666666666
Hungary,Red Bull Racing,VER,2,21.2665,42.533,MEDIUM,19.5,86.8385
Hungary,Aston Martin,VET,2,23.1915,46.383,MEDIUM,23.5,88.024
Hungary,Alfa Romeo,ZHO,2,25.253999999999998,50.507999999999996,HARD,25.5,89.4045
Belgium,Williams,ALB,2,23.866999999999997,47.733999999999995,HARD,13.0,120.5915
Belgium,Alpine,ALO,2,23.302,46.604,MEDIUM,12.5,119.6105
Belgium,AlphaTauri,GAS,2,22.6965,45.393,HARD,11.0,120.24799999999999
Belgium,Williams,LAT,3,27.76433333333333,83.29299999999999,MEDIUM,11.666666666666666,121.3765
Belgium,Ferrari,LEC,3,23.590999999999998,70.773,MEDIUM,14.0,118.8435
Belgium,Haas F1 Team,MAG,2,25.1045,50.209,HARD,13.5,120.9445
Belgium,Haas F1 Team,MSC,2,24.514499999999998,49.028999999999996,HARD,15.0,121.207
Belgium,McLaren,NOR,2,23.336,46.672,HARD,14.5,119.7675
Belgium,Alpine,OCO,2,23.516,47.032,HARD,16.0,119.5615
Belgium,Red Bull Racing,PER,2,22.514,45.028,MEDIUM,13.5,118.67099999999999
Belgium,McLaren,RIC,2,23.1155,46.231,HARD,16.0,119.7885
Belgium,Mercedes,RUS,2,22.9075,45.815,MEDIUM,14.5,118.4315
Belgium,Ferrari,SAI,2,22.6655,45.331,MEDIUM,13.5,118.7115
Belgium,Aston Martin,STR,2,23.4065,46.813,MEDIUM,14.0,120.4735
Belgium,AlphaTauri,TSU,2,27.1425,54.285,HARD,15.0,118.6755
Belgium,Red Bull Racing,VER,2,22.652,45.304,MEDIUM,15.0,117.4755
Belgium,Aston Martin,VET,2,23.053,46.106,HARD,17.0,119.53
Belgium,Alfa Romeo,ZHO,2,23.563499999999998,47.126999999999995,MEDIUM,14.0,119.565
Netherlands,Williams,ALB,4,-12.328000000000001,-49.312000000000005,MEDIUM,14.0,96.135
Netherlands,Alpine,ALO,3,19.001,57.003,SOFT,19.0,93.31966666666666
Netherlands,Alfa Romeo,BOT,2,20.3855,40.771,SOFT,17.0,80.8735
Netherlands,AlphaTauri,GAS,4,-7.165499999999998,-28.661999999999992,SOFT,15.5,92.99
Netherlands,Mercedes,HAM,3,17.429,52.287,MEDIUM,19.0,107.64366666666668
Netherlands,Williams,LAT,4,-18.621999999999996,-74.48799999999999,SOFT,13.75,83.96066666666667
Netherlands,Ferrari,LEC,4,-12.588999999999999,-50.355999999999995,SOFT,15.75,96.497
Netherlands,Haas F1 Team,MAG,4,20.66725,82.669,MEDIUM,14.75,94.388
Netherlands,Haas F1 Team,MSC,4,20.805,83.22,MEDIUM,14.5,94.5735
Netherlands,McLaren,NOR,3,20.573666666666664,61.721,HARD,20.0,91.91533333333332
Netherlands,Alpine,OCO,3,-20.239333333333335,-60.718,SOFT,20.0,104.48433333333334
Netherlands,Red Bull Racing,PER,4,-12.9695,-51.878,MEDIUM,15.5,96.08625
Netherlands,McLaren,RIC,5,-5.778999999999999,-28.894999999999996,SOFT,11.2,100.97999999999999
Netherlands,Mercedes,RUS,3,20.499666666666666,61.498999999999995,MEDIUM,19.0,108.747
Netherlands,Ferrari,SAI,3,23.491666666666664,70.475,HARD,20.0,88.01100000000001
Netherlands,Aston Martin,STR,4,-10.14825,-40.593,SOFT,15.5,96.92975
Netherlands,AlphaTauri,TSU,3,-50.275000000000006,-150.82500000000002,HARD,16.0,80.705
Netherlands,Red Bull Racing,VER,4,-19.0175,-76.07,SOFT,15.0,88.271
Netherlands,Aston Martin,VET,4,18.675,74.7,SOFT,14.5,94.557
Netherlands,Alfa Romeo,ZHO,4,-10.227,-40.908,SOFT,15.5,97.26525
Italy,Alpine,ALO,0,,0.0,MEDIUM,31.0,93.429
Italy,Alfa Romeo,BOT,1,24.729,24.729,MEDIUM,35.0,91.014
Italy,Williams,DEV,1,24.637,24.637,SOFT,19.0,92.409
Italy,AlphaTauri,GAS,1,25.363,25.363,MEDIUM,18.0,91.609
Italy,Mercedes,HAM,1,24.284,24.284,MEDIUM,33.0,91.186
Italy,Williams,LAT,2,25.496000000000002,50.992000000000004,HARD,23.5,106.169
Italy,Ferrari,LEC,3,23.697333333333333,71.092,SOFT,16.0,105.81366666666668
Italy,Haas F1 Team,MAG,2,27.523,55.046,HARD,23.0,95.051
Italy,Haas F1 Team,MSC,1,24.796,24.796,MEDIUM,33.0,91.716
Italy,McLaren,NOR,2,25.7925,51.585,MEDIUM,24.5,98.98349999999999
Italy,Alpine,OCO,1,24.384,24.384,SOFT,19.0,91.754
Italy,Red Bull Racing,PER,2,23.5915,47.183,HARD,21.0,90.838
Italy,McLaren,RIC,1,25.153,25.153,MEDIUM,19.0,91.516
Italy,Mercedes,RUS,2,24.6075,49.215,HARD,23.5,91.5255
Italy,Ferrari,SAI,2,24.11,48.22,MEDIUM,23.5,93.0015
Italy,Aston Martin,STR,1,24.269,24.269,HARD,20.5,93.3115
Italy,AlphaTauri,TSU,2,23.955,47.91,HARD,24.0,104.94200000000001
Italy,Red Bull Racing,VER,2,23.935499999999998,47.870999999999995,MEDIUM,24.0,101.0775
Italy,Alfa Romeo,ZHO,1,25.364,25.364,MEDIUM,18.0,92.22
Singapore,Williams,ALB,0,,0.0,INTERMEDIATE,25.0,
Singapore,Alfa Romeo,BOT,1,32.164,32.164,INTERMEDIATE,33.0,127.048
Singapore,AlphaTauri,GAS,1,29.827,29.827,INTERMEDIATE,36.0,127.555
Singapore,Mercedes,HAM,1,41.014,41.014,INTERMEDIATE,34.0,127.369
Singapore,Williams,LAT,0,,0.0,INTERMEDIATE,7.0,
Singapore,Ferrari,LEC,1,32.016,32.016,INTERMEDIATE,34.0,125.037
Singapore,Haas F1 Team,MAG,2,35.9155,71.831,INTERMEDIATE,18.0,129.5605
Singapore,Haas F1 Team,MSC,2,33.016,66.032,INTERMEDIATE,20.5,127.583
Singapore,McLaren,NOR,1,30.515,30.515,INTERMEDIATE,36.0,146.728
Singapore,Red Bull Racing,PER,1,29.541,29.541,INTERMEDIATE,35.0,126.352
Singapore,McLaren,RIC,1,30.943,30.943,INTERMEDIATE,36.0,
Singapore,Mercedes,RUS,4,30.8135,123.254,MEDIUM,12.75,134.68766666666667
Singapore,Ferrari,SAI,1,30.594,30.594,INTERMEDIATE,35.0,127.162
Singapore,Aston Martin,STR,1,29.885,29.885,INTERMEDIATE,35.0,126.733
Singapore,AlphaTauri,TSU,1,31.306,31.306,INTERMEDIATE,39.0,126.961
Singapore,Red Bull Racing,VER,2,29.6075,59.215,INTERMEDIATE,20.0,129.3115
Singapore,Aston Martin,VET,1,29.691,29.691,INTERMEDIATE,34.0,126.308
Japan,Alpine,ALO,3,2548.384,7645.152,INTERMEDIATE,7.333333333333333,112.184
Japan,Alfa Romeo,BOT,2,3816.355,7632.71,INTERMEDIATE,3.0,122.174
Japan,AlphaTauri,GAS,4,-61.496,-245.984,INTERMEDIATE,4.75,133.72633333333332
Japan,Mercedes,HAM,2,3810.8385,7621.677,INTERMEDIATE,4.5,115.367
Japan,Williams,LAT,2,3816.0785,7632.157,INTERMEDIATE,2.5,
Japan,Ferrari,LEC,2,3808.0515,7616.103,INTERMEDIATE,3.5,112.863
Japan,Haas F1 Team,MAG,2,3813.8035,7627.607,INTERMEDIATE,3.5,118.331
Japan,Haas F1 Team,MSC,2,3812.8714999999997,7625.7429999999995,INTERMEDIATE,5.5,120.481
Japan,McLaren,NOR,2,3815.563,7631.126,INTERMEDIATE,3.0,122.34
Japan,Alpine,OCO,2,3809.4995,7618.999,INTERMEDIATE,3.5,114.89
Japan,Red Bull Racing,PER,2,3809.033,7618.066,INTERMEDIATE,3.5,114.053
Japan,McLaren,RIC,2,3813.549,7627.098,INTERMEDIATE,4.0,115.504
